course,isbn1,publisher1,author1,year1,title1,type1a,buyrent1a,option1a,price1a,type1b,buyrent1b,option1b,price1b,type1c,buyrent1c,option1c,price1c,type1d,buyrent1d,option1d,price1d,type1e,buyrent1e,option1e,price1e,title2,type2a,buyrent2a,option2a,price2a,type2b,buyrent2b,option2b,price2b,type2c,buyrent2c,option2c,price2c,type2d,buyrent2d,option2d,price2d,type2e,buyrent2e,option2e,price2e,title3,type3a,buyrent3a,option3a,price3a,type3b,buyrent3b,option3b,price3b,type3c,buyrent3c,option3c,price3c,type3d,buyrent3d,option3d,price3d,type3e,buyrent3e,option3e,price3e
All : 2016 Fall : STS : 201 : 005 : Course ID 94554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : 009 : Course ID 94556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : 007 : Course ID 94555," 9780312421717, 9781441920256, 9780061809514, 9780143116844"," St. Martin's Press (Use for List Prices Bks Only), Springer, HarperCollins Publishers, Penguin (c/o RH)"," Fukuyama , Schmitt , Blascovich , Singer "," 2006, 2011, 2008","Our Posthuman Future
		            	",PAPERBACK ,BUY ,NEW ,$17.00 ,PAPERBACK ,BUY ,USED ,$12.75 ,PAPERBACK ,RENT ,USED ,$6.80 ,,,,,,,,,"Return to the Moon
		            	",PAPERBACK ,BUY ,NEW ,$25.00 ,PAPERBACK ,BUY ,USED ,$18.75 ,,,,,,,,,,,,,"Infinite Reality
		            	",,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : 101 : Course ID 94557,9781594632969, Penguin Group USA Inc, Johnson ,2014,"How We Got to Now
		            	",Hardcover ,BUY ,NEW ,$30.00 ,Hardcover ,BUY ,USED ,$22.50 ,Hardcover ,RENT ,NEW ,$22.50 ,Hardcover ,RENT ,USED ,$12.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : 103 : Course ID 94558," 9780312421717, 9781441920256, 9780061809514, 9780143116844"," St. Martin's Press (Use for List Prices Bks Only), Springer, HarperCollins Publishers, Penguin (c/o RH)"," Fukuyama , Schmitt , Blascovich , Singer "," 2006, 2011, 2008","Our Posthuman Future
		            	",PAPERBACK ,BUY ,NEW ,$17.00 ,PAPERBACK ,BUY ,USED ,$12.75 ,PAPERBACK ,RENT ,USED ,$6.80 ,,,,,,,,,"Return to the Moon
		            	",PAPERBACK ,BUY ,NEW ,$25.00 ,PAPERBACK ,BUY ,USED ,$18.75 ,,,,,,,,,,,,,"Infinite Reality
		            	", ,BUY ,NEW ,$15.99 , ,BUY ,USED ,$12.00 ,,,,,,,,,,,,
All : 2016 Fall : STS : 201 : H01 : Course ID 94560,9781138100275, Routledge, Perry ,2016,"Contemporary Society
		            	",PAPERBACK ,BUY ,NEW ,$192.50 ,PAPERBACK ,BUY ,USED ,$144.50 ,PAPERBACK ,RENT ,NEW ,$144.38 ,Digital ,BUY ,,$176.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 221 : 001 : Course ID 94563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 210 : 451 : Course ID 94562,9781429298902, Worth Publishing Company, Griggs ,2015,"Psychology: Concise Intro
		            	",PAPERBACK ,BUY ,NEW ,$53.00 ,PAPERBACK ,BUY ,USED ,$39.75 ,PAPERBACK ,RENT ,NEW ,$29.15 ,PAPERBACK ,RENT ,USED ,$21.20 ,Digital ,BUY ,,$33.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : STS : 221 : HM1 : Course ID 94564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All : 2016 Fall : Course ID 94566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
