newprice2,isbn3,newprice1,title1,author3,usedprice2,usedprice3,course,title2,title3,isbn1,author1,author2,isbn2,usedprice1,newprice3
,,,,Fukuyama,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$15.99
,,,,,,$12.00,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 105 : Course ID 94559,,,,,,,,
,,,Real World: Intro to Sociology (w/IQ Reg Access ),,,,,,,,,,,,
,,,Real World: Intro to Sociology (w/IQ Reg Access ),,,,,,,,,,,,
,,,,,,,,,,,Ferris,,,,
,,,,,,,,,,9780393264302,,,,,
,,$109.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,$82.00,
,,,,,,,,,,,,Ferris,,,
,,,,,,,,,,,,,9780393264302,,
,,,,Ferris,,,,,,,,,,,
,9780393264302,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 103 : Course ID 94558,,,,,,,,
,,,Our Posthuman Future,,,,,,,,,,,,
,,,Our Posthuman Future,,,,,,,,,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,,Fukuyama,,,,
,,,,,,,,,,9780312421717,,,,,
,,,,,,,,,,9780312421717,,,,,
,,,,,,,,,,9780312421717,,,,,
,,,,,,,,,,9780312421717,,,,,
,,$17.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$12.75,
,,,,,,,,Return to the Moon,,,,,,,
,,,,,,,,Return to the Moon,,,,,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,Fukuyama,,,
,,,,,,,,,,,,,9780312421717,,
,,,,,,,,,,,,,9780312421717,,
,,,,,,,,,,,,,9780312421717,,
,,,,,,,,,,,,,9780312421717,,
$25.00,,,,,,,,,,,,,,,
,,,,,$18.75,,,,,,,,,,
,,,,,,,,,Infinite Reality,,,,,,
,,,,,,,,,Infinite Reality,,,,,,
,,,,Fukuyama,,,,,,,,,,,
,,,,Fukuyama,,,,,,,,,,,
,,,,Fukuyama,,,,,,,,,,,
,,,,Fukuyama,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,9780312421717,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,$15.99
,,,,,,$12.00,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : 101 : Course ID 94557,,,,,,,,
,,,How We Got to Now,,,,,,,,,,,,
,,,How We Got to Now,,,,,,,,,,,,
,,,,,,,,,,,Johnson,,,,
,,,,,,,,,,9781594632969,,,,,
,,$30.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$22.50,
,,,,,,,,,,,,Johnson,,,
,,,,,,,,,,,,,9781594632969,,
,,,,Johnson,,,,,,,,,,,
,9781594632969,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 201 : H01 : Course ID 94560,,,,,,,,
,,,Contemporary Society,,,,,,,,,,,,
,,,Contemporary Society,,,,,,,,,,,,
,,,,,,,,,,,Perry,,,,
,,,,,,,,,,9781138100275,,,,,
,,$192.50,,,,,,,,,,,,,
,,,,,,,,,,,,,,$144.50,
,,,,,,,,,,,,Perry,,,
,,,,,,,,,,,,,9781138100275,,
,,,,Perry,,,,,,,,,,,
,9781138100275,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 210 : 101 : Course ID 94561,,,,,,,,
,,,Psychology,,,,,,,,,,,,
,,,Psychology,,,,,,,,,,,,
,,,,,,,,,,,Wade,,,,
,,,,,,,,,,9780205711468,,,,,
,,$205.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,$154.00,
,,,,,,,,,,,,Wade,,,
,,,,,,,,,,,,,9780205711468,,
,,,,Wade,,,,,,,,,,,
,9780205711468,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 221 : HM1 : Course ID 94564,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 210 : 451 : Course ID 94562,,,,,,,,
,,,Psychology: Concise Intro,,,,,,,,,,,,
,,,Psychology: Concise Intro,,,,,,,,,,,,
,,,,,,,,,,,Griggs,,,,
,,,,,,,,,,9781429298902,,,,,
,,$53.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,$39.75,
,,,,,,,,,,,,Griggs,,,
,,,,,,,,,,,,,9781429298902,,
,,,,Griggs,,,,,,,,,,,
,9781429298902,,,,,,,,,,,,,,
,,,,,,,All : 2016 Fall : STS : 300 : 101 : Course ID 94565,,,,,,,,
