isbn3,title1,author3,course,title2,title3,isbn1,author1,author2,isbn2,price3,price2,price1
,,,All : 2016 Fall : PHYS : 621 : 101 : Course ID 94352,,,,,,,,,
,Classical Electrodynamics,,,,,,,,,,,
,,,All : 2016 Fall : Course ID 94355,,,,,,,,,
,Classical Electrodynamics,,,,,,,,,,,
,,,,,,,Jackson,,,,,
,,,Course Materials,,,,,,,,,
,,,All : 2016 Fall : Course ID 94355,,,,,,,,,
,,,,,,9780471309321,,,,,,
,Classical Mechanics,,,,,,,,,,,
,,,,,,,,,,,,$144.25
,,,,,,,,Jackson,,,,
,Classical Mechanics,,,,,,,,,,,
,,,,,,,Taylor,,,,,
,,,,,,,,,,,,$135.50
,,,,,,,,Taylor,,,,
,,,All : 2016 Fall : Course ID 94363,,,,,,,,,
,,,All : 2016 Fall : Course ID 94369,,,,,,,,,
,,,All : 2016 Fall : Course ID 94371,,,,,,,,,
,,,All : 2016 Fall : Course ID 94390,,,,,,,,,
,,,All : 2016 Fall : Course ID 94377,,,,,,,,,
,,,All : 2016 Fall : Course ID 94376,,,,,,,,,
,,,All : 2016 Fall : Course ID 94376,,,,,,,,,
,,,All : 2016 Fall : Course ID 94395,,,,,,,,,
,,,All : 2016 Fall : Course ID 94383,,,,,,,,,
,,,All : 2016 Fall : Course ID 94388,,,,,,,,,
,,,All : 2016 Fall : Course ID 94388,,,,,,,,,
,,,All : 2016 Fall : Course ID 94391,,,,,,,,,
,,,All : 2016 Fall : Course ID 94395,,,,,,,,,
,,,All : 2016 Fall : Course ID 94406,,,,,,,,,
,,,All : 2016 Fall : Course ID 94407,,,,,,,,,
,,,All : 2016 Fall : Course ID 94408,,,,,,,,,
,,,All : 2016 Fall : Course ID 94404,,,,,,,,,
,,,All : 2016 Fall : Course ID 94420,,,,,,,,,
,,,All : 2016 Fall : Course ID 94424,,,,,,,,,
,,,All : 2016 Fall : Course ID 94415,,,,,,,,,
,,,All : 2016 Fall : Course ID 94430,,,,,,,,,
,,,All : 2016 Fall : Course ID 94432,,,,,,,,,
,,,All : 2016 Fall : Course ID 94457,,,,,,,,,
,,,All : 2016 Fall : Course ID 94459,,,,,,,,,
,,,All : 2016 Fall : Course ID 94451,,,,,,,,,
,,,All : 2016 Fall : Course ID 94447,,,,,,,,,
,,,All : 2016 Fall : Course ID 94448,,,,,,,,,
,,,All : 2016 Fall : Course ID 94455,,,,,,,,,
,,,All : 2016 Fall : Course ID 94455,,,,,,,,,
